Sales ID,Product Category,Product Name,Product Quantity,Product Salescost,Date Of Sales,Total Amount
,Tv,EcoStar LED HD Frameless TV,4,74000,,
,,,,,,
1195,Refrigerator,Haier Single Door HDF-24,3,75000,8/6/2021,326500
,Speaker,Jiasound JBL-03,8,8000,,
,Speaker,Audionic RTX-2,5,7500,,
,,,,,,
1196,Tv,Samsung Q60A QLED 4K Smart TV,10,87000,8/9/2021,905000
,Speaker,Samsung S-21,5,7000,,
,,,,,,
1197,Speaker,Sony XG300 X-Series ,2,9500,8/9/2021,3667000
,Tv,Samsung QN85A Neo QLED 4K Smart TV,15,92000,,
,Refrigerator,Hitachi Double Glass Door FP,21,108000,,
,,,,,,
1198,Refrigerator,Dawlance 547-WB,6,70000,8/10/2021,420000
,,,,,,
1199,Tv,EcoStar LED HD Frameless TV,2,74000,8/10/2021,1120000
,Refrigerator,Hitachi Double Glass Door FP,9,108000,,
,,,,,,
1200,Tv,Samsung QN85A Neo QLED 4K Smart TV,15,92000,8/10/2021,1380000
,Tv,Sony Z9J BRAVIA XR,5,97000,,
,Speaker,Audionic RTX-2,9,7500,,
,,,,,,
1201,Speaker,Samsung S-21,2,7000,8/12/2021,591000
,Tv,Samsung Q60A QLED 4K Smart TV,3,87000,,
,Refrigerator,Haier Glass Door HRF-291,4,79000,,
,,,,,,
1202,Tv,Samsung QN85A Neo QLED 4K Smart TV,10,92000,8/12/2021,920000
,,,,,,
1203,Speaker,Audionic RTX-2,23,7500,8/13/2021,172500
,,,,,,
1204,Tv,Samsung QN85A Neo QLED 4K Smart TV,10,92000,8/13/2021,1075500
,Tv,EcoStar LED HD Frameless TV,2,74000,,
,Speaker,Audionic RTX-2,1,7500,,
,,,,,,
1205,Refrigerator,Haier Single Door HDF-24,9,75000,8/13/2021,833000
,Refrigerator,Haier Glass Door HRF-291,2,79000,,
,,,,,,
1206,Speaker,Samsung S-21,105,74000,8/16/2021,7770000
,,,,,,
1207,Tv,Samsung QN85A Neo QLED 4K Smart TV,21,92000,8/16/2021,2524000
,Tv,EcoStar LED HD Frameless TV,8,74000,,
,,,,,,
1208,Refrigerator,Haier Single Door HDF-24,3,75000,8/17/2021,1110000
,Refrigerator,Dawlance 547-WB,12,70000,,
,Speaker,Audionic RTX-2,6,7500,,
,,,,,,
1209,Tv,Samsung QN85A Neo QLED 4K Smart TV,1,92000,8/17/2021,92000
,,,,,,
1210,Refrigerator,Dawlance 547-WB,6,70000,8/20/2021,420000
,,,,,,
1211,Refrigerator,Hitachi Double Glass Door FP,8,108000,8/23/2021,1855000
,Speaker,Samsung S-21,3,7000,,
,Tv,Sony Z9J BRAVIA XR,10,97000,,
,,,,,,
1212,Refrigerator,Dawlance 547-WB,3,70000,8/27/2021,210000
,,,,,,
1213,Tv,Sony Z9J BRAVIA XR,3,97000,9/1/2021,1296000
,Tv,Samsung QN85A Neo QLED 4K Smart TV,3,92000,,
,Refrigerator,Haier Single Door HDF-24,4,75000,,
,Refrigerator,Haier Glass Door HRF-291,1,79000,,
,Refrigerator,Dawlance 547-WB,5,70000,,
,,,,,,
1214,Refrigerator,Hitachi Double Glass Door FP,10,108000,9/2/2021,1120000
,Speaker,Jiasound JBL-03,5,8000,,
,,,,,,
1215,Tv,Sony Z9J BRAVIA XR,4,97000,9/3/2021,666500
,Tv,Samsung Q60A QLED 4K Smart TV,2,87000,,
,Speaker,Sony XG300 X-Series ,11,9500,,
,,,,,,
1216,Speaker,Jiasound JBL-03,4,8000,9/3/2021,46000
,Speaker,Samsung S-21,2,7000,,
,,,,,,
1217,Speaker,Samsung S-21,17,7000,9/6/2021,303000
,Tv,Samsung QN85A Neo QLED 4K Smart TV,2,92000,,
,,,,,,
,,,,,,
1219,Speaker,Audionic RTX-2,7,7500,9/8/2021,1327500
,Speaker,Jiasound JBL-03,4,8000,,
,Tv,Samsung QN85A Neo QLED 4K Smart TV,5,92000,,
,Tv,Samsung Q60A QLED 4K Smart TV,9,87000,,
,,,,,,
1220,Tv,Samsung Q60A QLED 4K Smart TV,5,87000,9/10/2021,855000
,Refrigerator,Dawlance 547-WB,6,70000,,
,,,,,,
1221,Speaker,Jiasound JBL-03,10,8000,9/13/2021,285000
,Speaker,Audionic RTX-2,2,7500,,
,Speaker,Sony XG300 X-Series ,20,9500,,
,,,,,,
1222,Speaker,Samsung S-21,5,7000,9/15/2021,35000
,,,,,,
1223,Tv,Sony Z9J BRAVIA XR,4,97000,9/17/2021,463000
,Refrigerator,Haier Single Door HDF-24,1,75000,,
,,,,,,
1224,Refrigerator,Dawlance 547-WB,10,70000,9/20/2021,715000
,Speaker,Audionic RTX-2,2,7500,,
,,,,,,
,,,,,,
1225,Speaker,Samsung S-21,1,7000,9/22/2021,895500
,Speaker,Sony XG300 X-Series ,3,9500,,
,Tv,EcoStar LED HD Frameless TV,10,74000,,
,Speaker,Jiasound JBL-03,15,8000,,
,,,,,,
1226,Speaker,Audionic RTX-2,20,7500,9/23/2021,150000
,,,,,,
1227,Tv,Samsung QN85A Neo QLED 4K Smart TV,9,92000,9/27/2021,1568000
,Tv,EcoStar LED HD Frameless TV,10,74000,,
,,,,,,
1228,Speaker,Samsung S-21,10,7000,9/28/2021,595000
,Refrigerator,Haier Single Door HDF-24,7,75000,,
,,,,,,
1229,Speaker,Jiasound JBL-03,10,8000,9/29/2021,80000
,,,,,,
1230,Tv,Sony Z9J BRAVIA XR,4,97000,9/29/2021,416500
,Speaker,Sony XG300 X-Series ,3,9500,,
,,,,,,
1231,Speaker,Samsung S-21,5,7000,9/30/2021,219000
,Tv,Samsung QN85A Neo QLED 4K Smart TV,2,92000,,
,,,,,,
1232,Tv,Sony Z9J BRAVIA XR,2,97000,10/1/2021,994500
,Tv,Samsung Q60A QLED 4K Smart TV,8,87000,,
,Speaker,Sony XG300 X-Series ,11,9500,,
,,,,,,
1233,Speaker,Samsung S-21,5,7000,10/1/2021,920000
,Tv,Samsung QN85A Neo QLED 4K Smart TV,4,92000,,
,Refrigerator,Haier Glass Door HRF-291,3,79000,,
,Refrigerator,Dawlance 547-WB,4,70000,,
,,,,,,
1234,Refrigerator,Haier Single Door HDF-24,3,75000,10/4/2021,1110000
,Refrigerator,Dawlance 547-WB,12,70000,,
,Speaker,Audionic RTX-2,6,7500,,
,,,,,,
1235,Tv,Samsung Q60A QLED 4K Smart TV,8,87000,10/4/2021,1116000
,Refrigerator,Dawlance 547-WB,6,70000,,
,,,,,,
1236,Speaker,Sony XG300 X-Series ,9,9500,10/5/2021,371500
,Speaker,Samsung S-21,10,7000,,
,Refrigerator,Hitachi Double Glass Door FP,2,108000,,
,,,,,,
1237,Refrigerator,Dawlance 547-WB,6,70000,10/5/2021,420000
,,,,,,
1238,Tv,EcoStar LED HD Frameless TV,2,74000,10/7/2021,1120000
,Refrigerator,Hitachi Double Glass Door FP,9,108000,,
,,,,,,
1239,Tv,Samsung QN85A Neo QLED 4K Smart TV,15,92000,10/8/2021,1380000
,,,,,,
1240,Tv,Samsung QN85A Neo QLED 4K Smart TV,2,92000,10/8/2021,332000
,Tv,EcoStar LED HD Frameless TV,2,74000,,
,,,,,,
1241,Speaker,Audionic RTX-2,10,7500,10/11/2021,1525000
,Speaker,Jiasound JBL-03,15,8000,,
,Tv,Samsung QN85A Neo QLED 4K Smart TV,5,92000,,
,Tv,Samsung Q60A QLED 4K Smart TV,10,87000,,
,,,,,,
1242,Refrigerator,Haier Glass Door HRF-291,5,79000,10/11/2021,395000
,,,,,,
1243,Speaker,Samsung S-21,13,7000,10/12/2021,91000
,,,,,,
1244,Tv,Sony Z9J BRAVIA XR,10,97000,10/13/2021,970000
,,,,,,
1245,Speaker,Samsung S-21,5,7000,10/14/2021,89500
,Speaker,Audionic RTX-2,6,7500,,
,Speaker,Sony XG300 X-Series ,1,9500,,
,,,,,,
1246,Tv,Samsung Q60A QLED 4K Smart TV,10,87000,10/15/2021,944000
,Tv,EcoStar LED HD Frameless TV,1,74000,,
,,,,,,
1247,Speaker,Sony XG300 X-Series ,12,75000,10/18/2021,979000
,Refrigerator,Haier Glass Door HRF-291,1,79000,,
,,,,,,
1248,Tv,EcoStar LED HD Frameless TV,5,74000,10/19/2021,412000
,Speaker,Samsung S-21,6,7000,,
,,,,,,
1249,Tv,Samsung Q60A QLED 4K Smart TV,5,87000,10/21/2021,435000
,,,,,,
1250,Tv,Sony Z9J BRAVIA XR,3,97000,10/22/2021,711500
,Tv,Samsung QN85A Neo QLED 4K Smart TV,3,92000,,
,Speaker,Samsung S-21,4,7000,,
,Refrigerator,Haier Glass Door HRF-291,1,79000,,
,Speaker,Audionic RTX-2,5,7500,,
,,,,,,
1251,Tv,Samsung QN85A Neo QLED 4K Smart TV,2,92000,10/25/2021,1449500
,Speaker,Sony XG300 X-Series ,5,9500,,
,Tv,EcoStar LED HD Frameless TV,15,74000,,
,Refrigerator,Hitachi Double Glass Door FP,1,108000,,
,,,,,,
1252,Speaker,Samsung S-21,14,7000,10/26/2021,183500
,Speaker,Sony XG300 X-Series ,9,9500,,
,,,,,,
1253,Speaker,Jiasound JBL-03,19,8000,10/28/2021,152000
,,,,,,
1254,Refrigerator,Hitachi Double Glass Door FP,1,108000,10/28/2021,116000
,Speaker,Jiasound JBL-03,1,8000,,
,,,,,,
1255,Speaker,Samsung S-21,1,7000,10/29/2021,193000
,Speaker,Audionic RTX-2,21,7500,,
,Speaker,Sony XG300 X-Series ,3,9500,,
,,,,,,
1256,Refrigerator,Haier Glass Door HRF-291,6,79000,11/1/2021,474000
,,,,,,
1257,Tv,Samsung QN85A Neo QLED 4K Smart TV,2,92000,11/2/2021,258000
,Tv,EcoStar LED HD Frameless TV,1,74000,,
,,,,,,
1258,Tv,Samsung Q60A QLED 4K Smart TV,15,87000,11/2/2021,1445000
,Refrigerator,Hitachi Double Glass Door FP,2,70000,,
,,,,,,
1259,Speaker,Audionic RTX-2,17,7500,11/2/2021,461500
,Speaker,Jiasound JBL-03,10,8000,,
,Tv,Samsung QN85A Neo QLED 4K Smart TV,2,92000,,
,Refrigerator,Dawlance 547-WB,1,70000,,
,,,,,,
1260,Tv,EcoStar LED HD Frameless TV,5,74000,11/3/2021,1340000
,Tv,Sony Z9J BRAVIA XR,10,97000,,
,,,,,,
1261,Tv,EcoStar LED HD Frameless TV,6,74000,11/4/2021,508000
,Speaker,Jiasound JBL-03,8,8000,,
,,,,,,
1262,Tv,Samsung Q60A QLED 4K Smart TV,2,87000,11/5/2021,244000
,Refrigerator,Dawlance 547-WB,1,70000,,
,,,,,,
1263,Refrigerator,Dawlance 547-WB,9,70000,11/5/2021,1682000
,Speaker,Jiasound JBL-03,2,8000,,
,Tv,EcoStar LED HD Frameless TV,14,74000,,
,,,,,,
1264,Tv,Samsung QN85A Neo QLED 4K Smart TV,12,92000,11/8/2021,1174000
,Speaker,Samsung S-21,10,7000,,
,,,,,,
1265,Speaker,Sony XG300 X-Series ,19,9500,11/10/2021,1187500
,Speaker,Samsung S-21,5,7000,,
,Refrigerator,Hitachi Double Glass Door FP,9,108000,,
,,,,,,
1266,Speaker,Audionic RTX-2,15,7500,11/12/2021,1074500
,Speaker,Samsung S-21,6,7000,,
,Tv,Samsung QN85A Neo QLED 4K Smart TV,10,92000,,
,,,,,,
1267,Tv,EcoStar LED HD Frameless TV,13,74000,11/15/2021,2129000
,Tv,Samsung QN85A Neo QLED 4K Smart TV,10,92000,,
,Speaker,Samsung S-21,4,7000,,
,Refrigerator,Haier Glass Door HRF-291,1,79000,,
,Refrigerator,Dawlance 547-WB,2,70000,,
,,,,,,
1268,Tv,Samsung Q60A QLED 4K Smart TV,5,87000,11/15/2021,435000
,,,,,,
1269,Speaker,Samsung S-21,10,7000,11/18/2021,1878000
,Tv,Samsung QN85A Neo QLED 4K Smart TV,12,92000,,
,Speaker,Jiasound JBL-03,5,8000,,
,Refrigerator,Haier Glass Door HRF-291,6,79000,,
,Speaker,Sony XG300 X-Series ,20,9500,,
,,,,,,
1270,Refrigerator,Haier Glass Door HRF-291,1,79000,11/22/2021,79000
,,,,,,
1271,Speaker,Samsung S-21,10,7000,11/22/2021,110000
,Speaker,Jiasound JBL-03,5,8000,,
,,,,,,
1272,Refrigerator,Hitachi Double Glass Door FP,1,108000,11/24/2021,2918000
,Tv,Samsung Q60A QLED 4K Smart TV,10,87000,,
,Tv,Sony Z9J BRAVIA XR,20,97000,,
,,,,,,
1273,Speaker,Jiasound JBL-03,4,8000,11/26/2021,46000
,Speaker,Samsung S-21,2,7000,,
,,,,,,
1274,Refrigerator,Dawlance 547-WB,10,70000,11/26/2021,2540000
,Tv,Samsung QN85A Neo QLED 4K Smart TV,20,92000,,
,,,,,,
,,,,,,
1275,Speaker,Audionic RTX-2,17,7500,11/26/2021,1079500
,Speaker,Jiasound JBL-03,10,8000,,
,Refrigerator,Dawlance 547-WB,5,70000,,
,Tv,Samsung Q60A QLED 4K Smart TV,6,87000,,
,,,,,,
1276,Tv,Samsung Q60A QLED 4K Smart TV,3,87000,11/29/2021,1371000
,Tv,EcoStar LED HD Frameless TV,15,74000,,
,,,,,,
1277,Tv,Samsung QN85A Neo QLED 4K Smart TV,20,92000,11/29/2021,2067000
,Speaker,Audionic RTX-2,10,7500,,
,Speaker,Sony XG300 X-Series ,16,9500,,
,,,,,,
1278,Refrigerator,Haier Glass Door HRF-291,1,79000,11/29/2021,79000
,,,,,,
1279,Tv,Sony Z9J BRAVIA XR,10,97000,11/29/2021,1130000
,Speaker,Jiasound JBL-03,20,8000,,
,,,,,,
1280,Refrigerator,Dawlance 547-WB,2,70000,11/30/2021,290000
,Speaker,Audionic RTX-2,20,7500,,
,,,,,,
,,,,,,
1281,Speaker,Samsung S-21,1,7000,11/30/2021,895500
,Speaker,Sony XG300 X-Series ,3,9500,,
,Tv,EcoStar LED HD Frameless TV,10,74000,,
,Speaker,Jiasound JBL-03,15,8000,,
,,,,,,
1282,Tv,EcoStar LED HD Frameless TV,14,74000,12/1/2021,1036000
,,,,,,
1283,Tv,Sony Z9J BRAVIA XR,10,97000,12/1/2021,970000
,,,,,,
1284,Speaker,Audionic RTX-2,15,7500,12/2/2021,112500
,,,,,,
1285,Speaker,Sony XG300 X-Series ,20,9500,12/3/2021,190000
,,,,,,
1286,Speaker,Samsung S-21,17,7000,12/3/2021,119000
,,,,,,
1287,Refrigerator,Dawlance 547-WB,1,70000,12/6/2021,545000
,Speaker,Sony XG300 X-Series ,50,9500,,
,,,,,,
1288,Tv,Samsung Q60A QLED 4K Smart TV,12,87000,12/6/2021,1504000
,Tv,Samsung QN85A Neo QLED 4K Smart TV,5,92000,,
,,,,,,
1289,Speaker,Samsung S-21,18,7000,12/7/2021,164000
,Speaker,Sony XG300 X-Series ,4,9500,,
,,,,,,
1290,Speaker,Samsung S-21,6,7000,12/7/2021,1238000
,Tv,Samsung QN85A Neo QLED 4K Smart TV,13,92000,,
,,,,,,
1291,Tv,Sony Z9J BRAVIA XR,25,97000,12/9/2021,3002500
,Tv,Samsung Q60A QLED 4K Smart TV,5,87000,,
,Speaker,Sony XG300 X-Series ,15,9500,,
,,,,,,
1292,Speaker,Samsung S-21,15,7000,12/9/2021,2124000
,Tv,Samsung QN85A Neo QLED 4K Smart TV,5,92000,,
,Refrigerator,Haier Glass Door HRF-291,1,79000,,
,Tv,EcoStar LED HD Frameless TV,20,74000,,
,,,,,,
1293,Tv,EcoStar LED HD Frameless TV,10,74000,12/10/2021,845000
,Speaker,Samsung S-21,15,7000,,
,,,,,,
1294,Tv,Samsung QN85A Neo QLED 4K Smart TV,5,92000,12/13/2021,460000
,,,,,,
1295,Speaker,Audionic RTX-2,2,7500,12/14/2021,163000
,Tv,EcoStar LED HD Frameless TV,2,74000,,
,,,,,,
1296,Speaker,Audionic RTX-2,10,7500,12/16/2021,1605000
,Speaker,Jiasound JBL-03,15,8000,,
,Refrigerator,Hitachi Double Glass Door FP,5,108000,,
,Tv,Samsung Q60A QLED 4K Smart TV,10,87000,,
,,,,,,
1297,Refrigerator,Haier Glass Door HRF-291,10,79000,12/20/2021,790000
,,,,,,
1298,Speaker,Samsung S-21,50,7000,12/22/2021,350000
,,,,,,
1299,Tv,Sony Z9J BRAVIA XR,20,97000,12/24/2021,1940000
,,,,,,
1300,Tv,EcoStar LED HD Frameless TV,15,74000,12/29/2021,1650000
,Refrigerator,Hitachi Double Glass Door FP,5,108000,,
